N,CPU_ms,GPU_ms,Speedup
200,21.802,0.083616,260.74
400,189.474,0.398464,475.511
800,1889.13,4.38026,431.282
1200,7963.44,12.4332,640.5
1600,30822.7,36.1975,851.515
2000,73860.9,58.7899,1256.35
