N,CPU_ms,GPU_ms,Speedup
200,22.906,0.115648,198.067
400,201.513,0.458208,439.785
800,1984.33,3.16246,627.465
1200,8305.43,11.1448,745.231
1600,32181.5,25.6855,1252.91
2000,71882.6,50.8548,1413.49
